date,version,content
2026.02.16,v4.4.9,Site logic Update (4.4.7~)
2026.02.15,v4.4.6,i18n logic update\n[EN/JP] Makoto(Queen) Mindscape stats fix
2026.02.13,v4.4.5,[EN/JP] Mio(Matoi) Update
2026.02.12,v4.4.4,NEW Guide - Technical Precision
2026.02.12,v4.4.3,[KR] Narumi(PINKY) Translation Update\nNew Guide - Fortune Telling\nNew Guide - Book
2026.02.11,v4.4.2,New Guide - Where to obtain Space Cards\nNew Guide - 'Speed' and 'Turn Order'\nNew Guide - Theurgy Mechanism
2026.02.11,v4.4.1,New Guide - Mindscape Core
2026.02.10,v4.4.0,Tactic Maker - When not in edit mode\n character skills display tooltips
2026.02.10,v4.3.9,Guide Refactoring\nNew Guide - Thieves Den Combat Buffs\nNew Guide - What is Eludi. Stat Buff
2026.02.08,v4.3.8,Tempest Riko Recommend Stat Calc Added
2026.02.07,v4.3.7,Schedule Update\nTactics Maker - Calculator\n- Fixed a bug where options were not persisted\n- Changed so that area-of-effect elements are applied to the entire character at once\n- Options that cannot coexist are now automatically deselected when another incompatible option is selected
2026.02.07,v4.3.6,i18n logic update
2026.02.07,v4.3.5,[EN/JP] QUEEN·SOY·CHERISH Mindscape changes\nPersona Tier Update
2026.02.06,v4.3.4,[EN/JP] Tempest Riko\n[EN/JP] Main Story 3-2 Maps\n[EN/JP] Wonder daggers, Persona, Revelation Cards\nTactics Library bug fix
2026.02.05,v4.3.3,[KR] Narumi(PINKY)\n[KR] Rin Lion Dance\Joker Mindscape Core\nTactic Maker: Lightning stamp / Bug fix\nTier Maker: Mindscape Core option / bug fix/
2026.02.03,v4.3.2,[BETA] Tactic Maker 3.0
2026.01.29,v4.3.1,[EN/JP] Spoiler Toggle - Tactics Library
2026.01.29,v4.3.0,[NEW] Astrolabe
2026.01.27,v4.2.9.[NEW] Persona ALL\nOther bug fixes and typo corrections
2026.01.25,v4.2.8,[EN/JP] Schedule SEA server added
2026.01.24,v4.2.7,[EN/JP] Pull Planner bug fix\n[EN/JP] Pull Planner SEA server added
2026.01.24,v4.2.6,[EN/JP] Synergy Howler Update
2026.01.22,v4.2.5,[KR] Junpei Iori Update\n[EN/JP] Howler Update
2026.01.21,v4.2.4,Pull Planner - Extra Income Added
2026.01.20,v4.2.3,[NEW] Pull Planner
2026.01.20,v4.2.2,Added missing chests to maps
2026.01.19,v4.2.1,[NEW] Maps
2026.01.16,v4.2.0,[NEW] Wonder Weapon Shard
2026.01.16,v4.1.9,Critical Calc UI Update
2026.01.16,v4.1.8,Material Planner - Mindscape Core Added (LV100 Asia)
2026.01.16,v4.1.7,Defense Calc UI Update
2026.01.15,v4.1.6,[KR] Junpei Iori Update
2026.01.14,v4.1.5,Synergy Romantic/Friendship Dialog Update
2026.01.14,v4.1.4,Wonder Weapon Refactoring
2026.01.14,v4.1.3,[New] Synergy
2026.01.13,v4.1.2,Character Page QEVEL Calc Added
2026.01.12,v4.1.1,[EN/JP] Some GLB mindscape differences added
2026.01.11,v4.1.0,[EN/JP] Release Schedule Update - Wonder Weapon/Revelation
2026.01.11,v4.0.9,[EN/JP] Release Schedule Update - Persona
2026.01.11,v4.0.8,[NEW] Release Schedule
2026.01.09,v4.0.7,Frostgale Kotone form Select feature added
2026.01.08,v4.0.6,[EN/JP] Frostgale Kotone Update\nSome characters review update
2026.01.07,v4.0.5,Critical Calc Style Update\n[KR] Pay Calc Style Update
2026.01.06,v4.0.4,PWA App Update
2026.01.02,v4.0.3,Tier Maker Style/Q&A\nOther typos fixed
2025.12.25,v4.0.2,J&C page - Switch to manual music playback
2025.12.25,v4.0.1,J&C page bug fixes
2025.12.24,v4.0.0,Lufelnet theme full update\nJustine & Caroline exclusive guide\nDefense/Critical Calculator J&C exclusive feature added\nVirtuoso job filter\nPersona skill levels 6/7/8 now fully visible\nOther typos fixed
2025.12.19,v3.1.6,HOME Popular Characters 
2025.12.18,v3.1.5,LV100 Base Stats Card Added
2025.12.18,v3.1.4,[KR] Shun·Pioneer 2nd\nBUI/PHOEBE/MOKO Summer Minsdcape Core
2025.12.16,v3.1.3,[KR] Pay Calc Update
2025.12.11,v3.1.2,[KR] BUI/MOKO Summer/PHOEBE Mindscape Core Updated
2025.12.11,v3.1.1,[KR] Shun·Pioneer 1st Update
2025.12.10,v3.1.0,Persona Passive Skills level toggle added
2025.12.09,v3.0.9,Revelation Cards sorted by release order
2025.12.09,v3.0.8,All major characters lineup updated
2025.12.08,v3.0.7,Character Party Lineup feature Added (NOIR/SHOKI Notte)
2025.12.07,v3.0.6,Tier Maker Spoiler Toggle Added\n[JP] CHERISH Update
2025.12.07,v3.0.5,Pull Tracker Google Drive Change function to manual save/load
2025.12.06,v3.0.4,[EN/JP] Haru Okumura Update
2025.12.04,v3.0.3,WONDER weapon - Lightning Stamp Added\n[KR] LUCE Notte 2nd Update\n[KR] v4.7 Janosik/Macabre Update
2025.12.04,v3.0.2,Added multiple character reviews and pros & cons\nTag Filter Bug Fix
2025.12.03,v3.0.1,[KR] Balance Patch (마코토/유우미/아야카/모토하·여름/토모코·여름/후타바/키라/카타야마/사나다)\nPatch Note: game.naver.com/lounge/P5X/board/detail/7026127
2025.12.02,v3.0.0,Bug Fixes2
2025.12.02,v2.9.9,Bug Fixes
2025.12.01,v2.9.8,Added multiple character reviews and pros & cons\nUpdated site data structure
2025.11.29,v2.9.7,Character Skill Priority Update
2025.11.28,v2.9.6,[KR]Persona-Macabre Update
2025.11.28,v2.9.5,[KR]WONDER weapon update v4.7 (플라스마 섬멸자/천상의 별/크리스탈 트레져)\n[EN/JP]Shoki·Notte Translation Update
2025.11.28,v2.9.4,[KR]Shoki·Notte 1st Update
2025.11.25,v2.9.3,[EN/JP]Shiva/Vishunu/Sandalphon Update
2025.11.25,v2.9.2,[EN/JP]Masaki Ashiya Update
2025.11.21,v2.9.1,Delete Ads
2025.11.14,v2.9.0,Lakshmi Update\n[EN] Bishamonten/Jikokuten typo fix
2025.11.13,v2.8.9,Fuka Yamagishi 2nd Update
2025.11.08,v2.8.8,Tier Maker Copy/Download Feature Added
2025.11.08,v2.8.7,Tactics Maker Fuka Mechanics Update\nDefense Calc Futaba Update\n[JP] Translation Update
2025.11.06,v2.8.6,Fuka Yamagishi 1st Update\n[EN/JP] Futaba Update
2025.10.23,v2.8.5,[KR] Kirijo Mitsuru 2nd Update\n[EN/JP] Kira Update
2025.10.17,v2.8.4,Critical Calc Added - LV80 Data\nCritical Calc Update
2025.10.17,v2.8.3,Pull Tracker Merge Engine Update\n[EN/JP] Def Calc + Tomoko Weapon\n[EN/JP] Character Search Bug fix
2025.10.16,v2.8.2,[KR] Kirijo Mitsuru 1st Update
2025.10.15,v2.8.1,Main Page Bosses Score Rate\n[EN/JP] Revelation - Obtain Added 
2025.10.12,v2.8.0,Main Page Quick Grid Update
2025.10.12,v2.7.9,Main Page Guild Bosses and SoS Section Update
2025.10.12,v2.7.8,Main Page Gacha Carousel Update
2025.10.10,v2.7.7,Progression Calc Custom 정렬 기능 추가
2025.10.09,v2.7.6,[EN/JP] Seaside Tomoko Update
2025.10.05,v2.7.5,[EN/JP] Translation Update
2025.09.29,v2.7.4,YUI 프리즘 2차 업데이트\n계시 풍족 획득 예리 추가\n원더 신규 무기 추가
2025.09.25,v2.7.3,YUI PRISM
2025.09.22,v2.7.2,[EN/JP] Tropical Motoha Update
2025.09.22,v2.7.1,풀 트래커 export import\n드래그 기능 개선
2025.09.21,v2.7.0,Gallery 갤러리 신설
2025.09.14,v2.6.9,페르소나 세탄타 Setanta 추가
2025.09.13,v2.6.8,계약 트래커 용어 및 버그 수정
2025.09.12,v2.6.7,계약 트래커 병합 오류 수정
2025.09.11,v2.6.6,카타야마 KR 출시. 3차 업데이트
2025.09.11,v2.6.5,계약 트래커 iOS 추출 방법 추가\n[EN/JP] Persona Acquisition added (KR Version)
2025.09.09,v2.6.4,계약 트래커 글로벌 통계 신설
2025.09.08,v2.6.3,Pool Tracker 계약 트래커 기능 신설
2025.09.06,v2.6.2,[EN/JP] Defense Reduction Calculator Added
2025.09.05,v2.6.1,방어력 계산기 레이아웃 개선
2025.09.04,v2.6.0,카타야마 2차 업데이트 필요 스탯\n크리티컬 및 방어력 계산기\nEN/JP 번역 추가
2025.09.04,v2.5.9,[EN/JP] CHORD&WIND Update 
2025.09.04,v2.5.8,카타야마 1차 업데이트
2025.09.02,v2.5.7,모바일 내비게이션 메뉴 개선\n각종 오타 수정
